
2023/03/11 (12:41:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/14 (11:52:57) | ===> btop++ v.1.2.13
2023/03/14 (11:52:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/16 (01:06:09) | ===> btop++ v.1.2.13
2023/03/16 (01:06:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/22 (22:02:11) | ===> btop++ v.1.2.13
2023/03/22 (22:02:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/23 (16:28:31) | ===> btop++ v.1.2.13
2023/03/23 (16:28:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/23 (17:28:56) | ===> btop++ v.1.2.13
2023/03/23 (17:28:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/25 (15:15:57) | ===> btop++ v.1.2.13
2023/03/25 (15:15:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/03 (16:25:37) | ===> btop++ v.1.2.13
2023/04/03 (16:25:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/12 (16:21:08) | ===> btop++ v.1.2.13
2023/04/12 (16:21:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/17 (01:34:23) | ===> btop++ v.1.2.13
2023/04/17 (01:34:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/17 (13:08:20) | ===> btop++ v.1.2.13
2023/04/17 (13:08:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/18 (19:25:23) | ===> btop++ v.1.2.13
2023/04/18 (19:25:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/20 (02:00:17) | ===> btop++ v.1.2.13
2023/04/20 (02:00:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/21 (17:34:53) | ===> btop++ v.1.2.13
2023/04/21 (17:34:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/24 (20:03:38) | ===> btop++ v.1.2.13
2023/04/24 (20:03:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/26 (13:07:54) | ===> btop++ v.1.2.13
2023/04/26 (13:07:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/27 (22:08:12) | ===> btop++ v.1.2.13
2023/04/27 (22:08:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/30 (17:34:50) | ===> btop++ v.1.2.13
2023/04/30 (17:34:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/30 (17:36:01) | ===> btop++ v.1.2.13
2023/04/30 (17:36:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/01 (01:13:38) | ===> btop++ v.1.2.13
2023/05/01 (01:13:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (11:07:31) | ===> btop++ v.1.2.13
2023/05/02 (11:07:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (23:51:38) | ===> btop++ v.1.2.13
2023/05/02 (23:51:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/02 (23:54:45) | ===> btop++ v.1.2.13
2023/05/02 (23:54:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (19:48:52) | ===> btop++ v.1.2.13
2023/05/03 (19:48:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (19:57:18) | ===> btop++ v.1.2.13
2023/05/03 (19:57:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/04 (22:58:11) | ===> btop++ v.1.2.13
2023/05/04 (22:58:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/05 (20:29:20) | ===> btop++ v.1.2.13
2023/05/05 (20:29:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/05 (22:47:15) | ===> btop++ v.1.2.13
2023/05/05 (22:47:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/06 (23:55:19) | ===> btop++ v.1.2.13
2023/05/06 (23:55:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/07 (00:25:54) | ===> btop++ v.1.2.13
2023/05/07 (00:25:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/08 (20:29:20) | ===> btop++ v.1.2.13
2023/05/08 (20:29:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/08 (23:04:55) | ===> btop++ v.1.2.13
2023/05/08 (23:04:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/08 (23:06:53) | ===> btop++ v.1.2.13
2023/05/08 (23:06:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/09 (15:46:50) | ===> btop++ v.1.2.13
2023/05/09 (15:46:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/14 (18:55:38) | ===> btop++ v.1.2.13
2023/05/14 (18:55:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/14 (20:16:50) | ===> btop++ v.1.2.13
2023/05/14 (20:16:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/16 (17:22:08) | ===> btop++ v.1.2.13
2023/05/16 (17:22:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/16 (17:26:44) | ===> btop++ v.1.2.13
2023/05/16 (17:26:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/17 (17:36:55) | ===> btop++ v.1.2.13
2023/05/17 (17:36:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/19 (15:25:31) | ===> btop++ v.1.2.13
2023/05/19 (15:25:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/19 (15:25:39) | ===> btop++ v.1.2.13
2023/05/19 (15:25:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (03:47:17) | ===> btop++ v.1.2.13
2023/05/21 (03:47:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (03:47:47) | ===> btop++ v.1.2.13
2023/05/21 (03:47:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/05/21 (03:47:58) | ===> btop++ v.1.2.13
2023/05/21 (03:47:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2023/05/21 (03:47:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (03:48:11) | ===> btop++ v.1.2.13
2023/05/21 (03:48:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (03:48:30) | ===> btop++ v.1.2.13
2023/05/21 (03:48:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (20:43:55) | ===> btop++ v.1.2.13
2023/05/21 (20:43:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/21 (20:44:03) | ===> btop++ v.1.2.13
2023/05/21 (20:44:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/23 (19:01:25) | ===> btop++ v.1.2.13
2023/05/23 (19:01:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/23 (19:06:14) | ===> btop++ v.1.2.13
2023/05/23 (19:06:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/23 (19:58:32) | ===> btop++ v.1.2.13
2023/05/23 (19:58:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/23 (19:58:37) | ===> btop++ v.1.2.13
2023/05/23 (19:58:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/24 (20:10:37) | ===> btop++ v.1.2.13
2023/05/24 (20:10:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/24 (20:10:58) | ===> btop++ v.1.2.13
2023/05/24 (20:10:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/25 (17:23:51) | ===> btop++ v.1.2.13
2023/05/25 (17:23:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/25 (23:03:42) | ===> btop++ v.1.2.13
2023/05/25 (23:03:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/26 (15:12:56) | ===> btop++ v.1.2.13
2023/05/26 (15:12:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/27 (18:02:16) | ===> btop++ v.1.2.13
2023/05/27 (18:02:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/27 (18:09:35) | ===> btop++ v.1.2.13
2023/05/27 (18:09:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/27 (18:34:47) | ===> btop++ v.1.2.13
2023/05/27 (18:34:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/27 (18:41:23) | ===> btop++ v.1.2.13
2023/05/27 (18:41:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/27 (19:48:40) | ===> btop++ v.1.2.13
2023/05/27 (19:48:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (00:34:37) | ===> btop++ v.1.2.13
2023/05/28 (00:34:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (03:50:15) | ===> btop++ v.1.2.13
2023/05/28 (03:50:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (18:26:40) | ===> btop++ v.1.2.13
2023/05/28 (18:26:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (20:21:49) | ===> btop++ v.1.2.13
2023/05/28 (20:21:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (22:40:39) | ===> btop++ v.1.2.13
2023/05/28 (22:40:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (23:20:33) | ===> btop++ v.1.2.13
2023/05/28 (23:20:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (01:18:26) | ===> btop++ v.1.2.13
2023/05/29 (01:18:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (02:15:52) | ===> btop++ v.1.2.13
2023/05/29 (02:15:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (02:16:27) | ===> btop++ v.1.2.13
2023/05/29 (02:16:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (02:19:10) | ===> btop++ v.1.2.13
2023/05/29 (02:19:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (15:41:44) | ===> btop++ v.1.2.13
2023/05/29 (15:41:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (15:53:11) | ===> btop++ v.1.2.13
2023/05/29 (15:53:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/29 (23:12:26) | ===> btop++ v.1.2.13
2023/05/29 (23:12:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/30 (00:27:58) | ===> btop++ v.1.2.13
2023/05/30 (00:27:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/30 (01:13:56) | ===> btop++ v.1.2.13
2023/05/30 (01:13:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/30 (01:53:46) | ===> btop++ v.1.2.13
2023/05/30 (01:53:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/30 (01:54:46) | ===> btop++ v.1.2.13
2023/05/30 (01:54:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/30 (15:50:50) | ===> btop++ v.1.2.13
2023/05/30 (15:50:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/31 (19:41:20) | ===> btop++ v.1.2.13
2023/05/31 (19:41:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/31 (22:11:08) | ===> btop++ v.1.2.13
2023/05/31 (22:11:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/02 (22:01:59) | ===> btop++ v.1.2.13
2023/06/02 (22:01:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/02 (22:26:45) | ===> btop++ v.1.2.13
2023/06/02 (22:26:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/02 (22:44:03) | ===> btop++ v.1.2.13
2023/06/02 (22:44:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/03 (04:04:02) | ===> btop++ v.1.2.13
2023/06/03 (04:04:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/03 (23:31:49) | ===> btop++ v.1.2.13
2023/06/03 (23:31:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/03 (23:41:39) | ===> btop++ v.1.2.13
2023/06/03 (23:41:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/04 (17:55:05) | ===> btop++ v.1.2.13
2023/06/04 (17:55:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/04 (17:55:49) | ===> btop++ v.1.2.13
2023/06/04 (17:55:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/04 (19:15:23) | ===> btop++ v.1.2.13
2023/06/04 (19:15:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/04 (19:15:31) | ===> btop++ v.1.2.13
2023/06/04 (19:15:31) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/06/04 (19:15:37) | ===> btop++ v.1.2.13
2023/06/04 (19:15:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2023/06/04 (19:15:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/05 (19:00:42) | ===> btop++ v.1.2.13
2023/06/05 (19:00:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/05 (19:33:14) | ===> btop++ v.1.2.13
2023/06/05 (19:33:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/07 (18:32:48) | ===> btop++ v.1.2.13
2023/06/07 (18:32:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/07 (19:07:52) | ===> btop++ v.1.2.13
2023/06/07 (19:07:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/10 (07:18:32) | ===> btop++ v.1.2.13
2023/06/10 (07:18:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/10 (09:18:37) | ===> btop++ v.1.2.13
2023/06/10 (09:18:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/10 (09:27:20) | ===> btop++ v.1.2.13
2023/06/10 (09:27:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/10 (09:27:27) | INFO: Logger set to INFO
2023/06/10 (09:27:27) | INFO: Logger set to DEBUG
2023/06/10 (09:27:49) | DEBUG: Loading theme file: /usr/local/share/btop/themes/whiteout.theme
2023/06/10 (09:27:49) | DEBUG: Loading theme file: /usr/local/share/btop/themes/tomorrow-night.theme
